来源平台,记录类型,是否直接需求,标题,买家/采购机构,国家,供应商/历史成交方,产品关键词,产品形态,发布日期,截止时间,需求描述,数量,试单数量,持续需求量,采购频率,金额,等级/认证/OEM,用途,包装,温控要求,报价要求,MOQ要求,样品要求,贸易术语,目的地,交期要求,紧急程度,长期意向,验证状态,产品匹配状态,联系门槛,原始来源链接,说明链接,附件链接,抓取时间,快照SHA256,备注
go4worldbusiness_us,BUYER_DIRECTORY_ENTRY,否,Montano Promotions LLC,Montano Promotions LLC,US,,blueberry,,Jan-24-21,,"Dried fruits and vegetables: pineapple, mango, papaya, strawberry, tomato, peppers",,,,,,,,,,,,,,,,,,UNVERIFIED_DIRECTORY_CLAIM,背景证据,public_channel_or_unknown,https://www.go4worldbusiness.com/member/view/3195623/montano-promotions-llc.html,,,,,不能单独证明当前采购需求
go4worldbusiness_us,BUYER_DIRECTORY_ENTRY,否,Phillipe Pollas,Phillipe Pollas,US,,blueberry | food,powder,Feb-16-22,,"Coffee, Fruit Juices, Flavors, Food, Brazilian Wine, Honey & Propolis, Organic Food, Fruits, Cachaca, Acai Berries, Acai Powder",,,,,,,,,,,,,,,,,,UNVERIFIED_DIRECTORY_CLAIM,背景证据,public_channel_or_unknown,https://www.go4worldbusiness.com/member/view/3546502/phillipe-pollas.html,,,,,不能单独证明当前采购需求
go4worldbusiness_us,BUYER_DIRECTORY_ENTRY,否,The Serene Experience,The Serene Experience,US,,blueberry | tea,powder,May-03-20,,"Moringa leaf powder, soursop leaf powder, hemp powder, irish sea moss, bladderwrack, ashwagandha powder, baobob powder and black rice",,,,,,,,,,,,,,,,,,UNVERIFIED_DIRECTORY_CLAIM,背景证据,public_channel_or_unknown,https://www.go4worldbusiness.com/member/view/2895994/the-serene-experience.html,,,,,不能单独证明当前采购需求
go4worldbusiness_us,BUYER_DIRECTORY_ENTRY,否,Jacob Israel,Jacob Israel,US,,blueberry | tea | food,powder,Aug-09-20,,"Chia seeds, chia oil, quinoa seeds, maca powder, quinoa, amaranth, canihua, quinoa flakes, quinoa powder, quinoa pop, pink salt, camu camu, lucuma powder, cacao powder, cacao nibs, camu camu powder, brasil nut,nueces de brasil, cocoa, chilean walnuts, aguaymanto, golden berries, purple corn, black eye beans, black eyed peas, frejol castilla, sacha inchi, sacha inchi seeds, roasted sacha inchi, amaranth, acai powder, freeze dried acai powder, tarwil powder, green coffee, green coffee powder, sacha inchi oil, sacha inchi flour, cats claw powder, ginger powder, passion fruit, granadilla, preserved roses,avocado, ginger, turmeric, flax seeds, sesame seeds, kidney beans, mango, grapes",,,,,,,,,,,,,,,,,,UNVERIFIED_DIRECTORY_CLAIM,背景证据,public_channel_or_unknown,https://www.go4worldbusiness.com/member/view/3021443/jacob-israel.html,,,,,不能单独证明当前采购需求
go4worldbusiness_us,BUYER_DIRECTORY_ENTRY,否,Govee,Govee,US,,blueberry | tea | food,powder,May-24-20,,"Chia seeds, chia oil, quinoa seeds, maca powder, quinoa, amaranth, canihua, quinoa flakes, quinoa powder, quinoa pop, pink salt, camu camu, lucuma powder, cacao powder, cacao nibs, camu camu powder, brasil nut,nueces de brasil, Cocoa, chilean walnuts, aguaymanto, golden berries, purple corn, black eye beans, black eyed peas, frejol castilla, sacha inchi, sacha inchi seeds, roasted sacha inchi, amaranth, acai powder, freeze dried acai powder, tarwil powder, green coffee, green coffee powder, sacha inchi oil, sacha inchi flour, cats claw powder, ginger powder, passion fruit, granadilla, preserved roses,Avocado, ginger, turmeric, flax seeds, sesame seeds, kidney beans, mango, grapes",,,,,,,,,,,,,,,,,,UNVERIFIED_DIRECTORY_CLAIM,背景证据,public_channel_or_unknown,https://www.go4worldbusiness.com/member/view/2922039/govee.html,,,,,不能单独证明当前采购需求
go4worldbusiness_us,BUYER_DIRECTORY_ENTRY,否,Anita,Anita,US,,blueberry | tea | food,,Mar-10-21,,"Food products. fruits: pitahaya, (dragon fruit), snacks, plantain chips, cassava chips , frozen: plantain sweet, cassava sticks, pitahaya chunk, mango chunk, eddo. frozen pulp: mango, blackberry, passion fruit, pineapple, soursop, tamarind, tree tomato, raspberry.",,,,,,,,,,,,,,,,,,UNVERIFIED_DIRECTORY_CLAIM,背景证据,public_channel_or_unknown,https://www.go4worldbusiness.com/member/view/3243401/anita.html,,,,,不能单独证明当前采购需求
go4worldbusiness_us,BUYER_DIRECTORY_ENTRY,否,Royal Ties,Royal Ties,US,,blueberry | tea,,Mar-15-21,,"Organic castor oil, wildcrafted seamoss, bladderwrack, soursop leaves pumpkin seed oil, moringa seed oil, cold press coconut oil, castor oil with pumpkin seed oil, castor oil with moringa oil and other organic herbs.",,,,,,,,,,,,,,,,,,UNVERIFIED_DIRECTORY_CLAIM,背景证据,public_channel_or_unknown,https://www.go4worldbusiness.com/member/view/3248722/royal-ties.html,,,,,不能单独证明当前采购需求
go4worldbusiness_us,BUYER_DIRECTORY_ENTRY,否,"Organic Supply, Llc","Organic Supply, Llc",US,,blueberry | tea | food,powder,Sep-02-21,,"Chia Seeds, Chia Oil, Quinoa Seeds, Maca Powder, Quinoa, Amaranth, Canihua, Quinoa Flakes, Quinoa Powder, Quinoa Pop, Pink Salt, Camu Camu, Lucuma Powder, Cacao Powder, Cacao Nibs, Camu Camu Powder, Brasil Nut,nueces De Brasil, Cocoa, Chilean Walnuts, Aguaymanto, Golden Berries, Purple Corn, Black Eye Beans, Black Eyed Peas, Frejol Castilla, Sacha Inchi, Sacha Inchi Seeds, Roasted Sacha Inchi, Amaranth, Acai Powder, Freeze Dried Acai Powder, Tarwil Powder, Green Coffee, Green Coffee Powder, Sacha Inchi Oil, Sacha Inchi Flour, Cats Claw Powder, Ginger Powder, Passion Fruit, Granadilla, Preserved Roses,avocado, Ginger, Turmeric, Flax Seeds, Sesame Seeds, Kidney Beans, Mango, Grapes",,,,,,,,,,,,,,,,,,UNVERIFIED_DIRECTORY_CLAIM,背景证据,public_channel_or_unknown,https://www.go4worldbusiness.com/member/view/3410706/organic-supply-llc.html,,,,,不能单独证明当前采购需求
go4worldbusiness_us,BUYER_DIRECTORY_ENTRY,否,Green Ataraxia,Green Ataraxia,US,,blueberry | tea | food,powder,Jul-19-23,,"Chia Seeds, Chia Oil, Quinoa Seeds, Maca Powder, Quinoa, Amaranth, Canihua, Quinoa Flakes, Quinoa Powder, Quinoa Pop, Pink Salt, Camu Camu, Lucuma Powder, Cacao Powder, Cacao Nibs, Camu Camu Powder, Brasil Nut,nueces De Brasil, Cocoa, Chilean Walnuts, Aguaymanto, Golden Berries, Purple Corn, Black Eye Beans, Black Eyed Peas, Frejol Castilla, Sacha Inchi, Sacha Inchi Seeds, Roasted Sacha Inchi, Amaranth, Acai Powder, Freeze Dried Acai Powder, Tarwil Powder, Green Coffee, Green Coffee Powder, Sacha Inchi Oil, Sacha Inchi Flour, Cats Claw Powder, Ginger Powder, Passion Fruit, Granadilla, Preserved Roses,Avocado, Ginger, Turmeric, Flax Seeds, Sesame Seeds, Kidney Beans, Mango, Grapes",,,,,,,,,,,,,,,,,,UNVERIFIED_DIRECTORY_CLAIM,背景证据,public_channel_or_unknown,https://www.go4worldbusiness.com/member/view/3954054/green-ataraxia.html,,,,,不能单独证明当前采购需求
go4worldbusiness_us,BUYER_DIRECTORY_ENTRY,否,Colco LLC,Colco LLC,US,,blueberry | blueberries | tea | food,powder,Apr-09-22,,"Cardamom, avocado, cassava, green plantain, eddoe, taro, vegetables, tropical fruit, mango, pineapple, orange, mandarin, blueberries ,blackberries, raspberries , papaya, lychees exotic fresh, conventional and organic, fruits flour, fruit powder, fruit pulp and concentrate juice, puree, , dragon fruit yellow.",,,,,,,,,,,,,,,,,,UNVERIFIED_DIRECTORY_CLAIM,背景证据,public_channel_or_unknown,https://www.go4worldbusiness.com/member/view/3592612/colco-llc.html,,,,,不能单独证明当前采购需求
go4worldbusiness_us,BUYER_DIRECTORY_ENTRY,否,Us Grace Logistics Inc,Us Grace Logistics Inc,US,,blueberry | blueberries | tea,fruit,Oct-20-23,,"Fresh fruits like apples, grapes, oranges, stonefruit, cherries, pears, and vegetables, nuts, dried fruits, onions, potatoes, pumpkins, limes, strawberries, blueberries, eggs, carrots, grapefruit, lemons, pomegranates, almonds, walnuts",,,,,,,,,,,,,,,,,,UNVERIFIED_DIRECTORY_CLAIM,背景证据,public_channel_or_unknown,https://www.go4worldbusiness.com/member/view/4025283/us-grace-logistics-inc.html,,,,,不能单独证明当前采购需求
go4worldbusiness_us,BUYER_DIRECTORY_ENTRY,否,David Mejia,David Mejia,US,,blueberry | tea | food,,Aug-01-22,,"Chemical Products, Fabric, Caustic Soda Pearls/flakes, Urea Granules, Rubber, Tyres, Petrochemical Products, Arts And Crafts And Etiquette Supplies; Clothing, Non Metallic Minerals And Products; Shoes And Hats; Knitwear, Textiles And Raw Materials; Reinforcement Products For Construction; Building Materials; Hardware Products; Cosmetics; Artificial Jewellery; Hair Accessories; Electronic Products; Sporting Goods And Equipment; Stationery ; Luggage; Clocks And Timepieces; Toy Sales; Furniture; Lamp; Household Appliances; Auto Parts; Wholesale Of Kitchenware, Sanitary Ware, Gloves, Facemasks; Plastic Products; Sales Of Rubber Products; Bicycle And Spare Parts Retail; Motorcycles And Spare Parts; Gift Flower; Metal Tools; Daily Glass Products Industrial And Hosehold Textile Products; Fertilizers.",,,,,,,retail,,,,,,,,,,,UNVERIFIED_DIRECTORY_CLAIM,背景证据,public_channel_or_unknown,https://www.go4worldbusiness.com/member/view/3683357/david-mejia.html,,,,,不能单独证明当前采购需求
go4worldbusiness_us,BUYER_DIRECTORY_ENTRY,否,Acacia & White Usa Inc,Acacia & White Usa Inc,US,,blueberry | blueberries | tea | food,powder,Sep-21-21,,"Cardamom, avocado, cassava, green plantain, eddoe, taro, vegetables, tropical fruit, mango, pineapple, orange, mandarine, blueberries ,blackberries, papaya exotic fresh, conventional and organic, fruits flour, fruit powder, fruit pulp and concentrate juice, puree, , dragon fruit yellow.",,,,,,,,,,,,,,,,,,UNVERIFIED_DIRECTORY_CLAIM,背景证据,public_channel_or_unknown,https://www.go4worldbusiness.com/member/view/3427403/acacia-white-usa-inc.html,,,,,不能单独证明当前采购需求
go4worldbusiness_us,BUYER_DIRECTORY_ENTRY,否,Espinoza Foods Llc,Espinoza Foods Llc,US,,blueberry,powder,Oct-15-20,,"Iqf avocado chunks, iqf avocado halves, iqf avocado slices, hpp guacamole, hpp avocado pulp, extra virgin avocado oil, crude avocado oil, refined avocado oil, fresh avocado and chia seeds, pork (frozen), all its parts, dehydrated milk powder, dehydrated egg and albumin, organic fertilizers, organic insecticide and organic fungicide, iqf berries and mango,",,,,,,,,,,,,,,,,,,UNVERIFIED_DIRECTORY_CLAIM,背景证据,public_channel_or_unknown,https://www.go4worldbusiness.com/member/view/3095761/espinoza-foods-llc.html,,,,,不能单独证明当前采购需求
